date,federationId,match_link,season,serie,arena,home_team,away_team,domare1,domare2
2025-11-18,14,https://stats.innebandy.se/sasong/43/serie/41546/match/1591901,2025/26,Juniorallsvenskan H HJ18,"Daltorphallen, Borås",580707033,Borås IBF,Träslövsläge IF,Harri Tjäder,Pedram Koublani
2025-11-18,14,https://stats.innebandy.se/sasong/43/serie/41581/match/1604099,2025/26,Pantamera Pojkar Röd 5 Södra,"Lyckehallen A, Kinna",204309015,Kinna IBK P013,Rydboholms SK P12-14,,
2025-11-18,17,https://stats.innebandy.se/sasong/43/serie/40696/match/1572120,2025/26,Allsvenskan Damer Norra,Skyttis Arena,580026044,Örnsköldsvik IBK,RIG Umeå IBF,Marcus Lineruth,Kevin Neemé
2025-11-18,21,https://stats.innebandy.se/sasong/43/serie/42065/match/1630554,2025/26,Herrar Div. 3 B,Lundenhallen,062503048,Korsvägen BBK H3,Sörgårdens IBF H3,Alexander Pavlovic,Robin Cederdahl
2025-11-18,21,https://stats.innebandy.se/sasong/43/serie/42368/match/1648897,2025/26,Pantamera Damjunior B,Pinntorps Idrottshall,069011003,Landvetter IBF JAS DJ-Utveckling vit,Dingle AIK DJ,Sebastian Cedgard,Tage Sandquist
2025-11-18,21,https://stats.innebandy.se/sasong/43/serie/42383/match/1649705,2025/26,Pantamera Pojkar C-ungdom I,Wallenstam Arena A,069522012,Landvetter IBK P13 blå,Pixbo IBF P13 Röd,Robin Niklasson,Alexander Acke
2025-11-18,5,https://stats.innebandy.se/sasong/43/serie/41297/match/1647159,2025/26,Pantamera FK6,Kumlahallen Viahallen (Stora),126451022,Ekeby IF F 13/14 Svart,Ekeby IF/ÖSKU F-13/14 FK6,Ralf Flyckt,Ted Jorbrant
2025-11-18,5,https://stats.innebandy.se/sasong/43/serie/41281/match/1601953,2025/26,Pantamera PK4,Sörby sporthall,126481006,Ekeby IF P-11/12,Örebro SK Ung PK4 2012,Evelina Nilsson,William Wengelin
2025-11-19,18,https://stats.innebandy.se/sasong/43/serie/40696/match/1572121,2025/26,Allsvenskan Damer Norra,Bilkompaniet Arena,580026045,KAIS Mora IF,Sundsvalls IBF,Tim Green,Daniel Larsson
2025-11-19,19,https://stats.innebandy.se/sasong/43/serie/40695/match/1571648,2025/26,SSL - Svenska Superligan Damer,TTM hallen,580020068,FBC Kalmarsund,Endre IF,Kevin Cardell,Ola Nilsson
2025-11-19,22,https://stats.innebandy.se/sasong/43/serie/40695/match/1571645,2025/26,SSL - Svenska Superligan Damer,"Sparbanken Wictory Center, Unihocplanen",580020065,Warberg IC,Växjö IBK,Josefine Hedelind,Jesper Liedberg
2025-11-19,22,https://stats.innebandy.se/sasong/43/serie/41175/match/1573116,2025/26,Damer Div. 1 region,Wallenstam Arena A,062222053,Pixbo IBF,Varla IBK Dam,Magnus Fredriksson,Aldin Hadziselmovic
2025-11-19,22,https://stats.innebandy.se/sasong/43/serie/41546/match/1591896,2025/26,Juniorallsvenskan H HJ18,Skyttesskolan,580707028,Frölunda IBK,Varla IBK,Linus Backlund,Tommy Runhammar
2025-11-19,22,https://stats.innebandy.se/sasong/43/serie/41136/match/1628897,2025/26,Klubbhuset Damer Division 2,Skårbyhallen,070200026,Varla IBK Dam 2,Falkenbergs IBK Dam 1,Benjamin Olsen,Elin Idéhn
2025-11-19,22,https://stats.innebandy.se/sasong/43/serie/41135/match/1628664,2025/26,Klubbhuset Damer Division 3,Kattegatthallen,070250018,Falkenbergs IBK Dam 2,Tvååkers IBK Dam B,Hampus Abrahamsson,Matilda Wittink
2025-11-19,22,https://stats.innebandy.se/sasong/43/serie/41141/match/1628158,2025/26,Klubbhuset Herrar Division 3,Horredshallen,070400044,Viskadalen IBK,Halmstads IBK 2,Thomas Roos,Mats Lian
2025-11-19,4,https://stats.innebandy.se/sasong/43/serie/41622/match/1582520,2025/26,Herrar Division 2,Gammelstad Sp,110120054,Gammelstads IF,StiL Innebandy,Patrik Häggström,Simon Blom
2025-11-19,6,https://stats.innebandy.se/sasong/43/serie/40695/match/1571650,2025/26,SSL - Svenska Superligan Damer,Lerbäckshallen A,580020070,IBK Lund Elit,Malmö FBC,Erik Hindemith,Fredrik Lundborg
2025-11-19,6,https://stats.innebandy.se/sasong/43/serie/41953/match/1627144,2025/26,Herrar Div 2 Skåne,Qpoolen,131001050,Röke IBK A,Höllvikens IBF A,Johan Holmåker,Jens Staaf
