date,federationId,match_link,season,serie,arena,home_team,away_team,domare1,domare2
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41656/match/1609718,2025/26,Pantamera P Röd Norra -09 A,Virda Sportcenter Hall 2 - Alvesta,141450037,Alvesta IBK P09-10,Värnamo IK P09-10,Gustav Jarnegren,Martin Carlsson
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41656/match/1609722,2025/26,Pantamera P Röd Norra -09 A,Habo Arena,141450041,Fagerhult Habo IBK Ungdom P09-10,Holavedens AIS P10,Mattias Tokic,Albin Ibishi
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41659/match/1610117,2025/26,Pantamera P Röd Norra -10,Värnamo Sporthall,141453040,Värnamo IK P10-11,Husqvarna IK P10 Vit,Suvad Kaltak,Marcus Strömgren
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41659/match/1610115,2025/26,Pantamera P Röd Norra -10,"KFUM Sporthall, Jönköping",141453038,KFUM Jönköping P10-11,Sävsjö IBK P10,Daniel Pettersson,Erik Sandell
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41661/match/1610248,2025/26,Pantamera P Röd Norra -11 A,Jönköpings Idrottshus A-hall,141455039,Jönköpings IK P11 Vit,Sävsjö IBK P11,Johan Ferm,Magnus Widlund
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41661/match/1610250,2025/26,Pantamera P Röd Norra -11 A,Jönköpings Idrottshus A-hall,141455041,Jönköpings IK P10 Vit,Husqvarna IK P10/3,Kim Westlund,Pontus Hildinge Mickelsson
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41660/match/1610380,2025/26,Pantamera P Röd Norra -11 B,Jönköpings Idrottshus A-hall,141454039,Jönköpings IK P12 Röd,Jönköpings IK P11 Röd,Johan Ferm,Magnus Widlund
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41665/match/1611580,2025/26,Pantamera P Röd Norra -12 B,"KFUM Sporthall, Jönköping",142701030,KFUM Jönköping P12/1,Vimmerby IBK P12,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41665/match/1611578,2025/26,Pantamera P Röd Norra -12 B,Fagerslätt Idrottshall,142701028,Husqvarna IK P12/3 Grön,Aneby SK P12,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41667/match/1610735,2025/26,Pantamera P Röd Norra -13 A,Mörlunda Sporthall,142703040,IBK Svala P12-13,IBF Tranås P13-14,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41667/match/1610733,2025/26,Pantamera P Röd Norra -13 A,Fagerslätt Idrottshall,142703038,Husqvarna IK P13 Svart,IBK Husar P12-13,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41668/match/1611396,2025/26,Pantamera P Röd Norra -13 B,Skillingaryds Arena,142704026,Skillingaryds IK P12-13,Gnosjö IBK P13,Meja Widell,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41668/match/1611399,2025/26,Pantamera P Röd Norra -13 B,Smålandsstenars Sporthall,142704029,Westbo IBK P13,Ölmstads IS/Gränna AIS P13,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41663/match/1611299,2025/26,Pantamera P Röd Östra -11,Falkenbergshallen,141457028,CL98IC 12/1,Gantesbo IBK P10-11,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41671/match/1610996,2025/26,Pantamera P Röd Östra -13,Krungårdshallen,142707037,Sandbäckshults IBK P13-14,FBC Karlskrona P13-14,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41671/match/1610997,2025/26,Pantamera P Röd Östra -13,OG-Hallen,142707038,Nybro IBK P13-14/1,CL98IC P13/1,Melker Haraldsson,Ella Dackebrand
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41671/match/1610999,2025/26,Pantamera P Röd Östra -13,Fortnox Arena B-hall,142707040,Växjö IBK Utveckling P13 Vit,Stenåsa-Sandby-Gårdby IF P13,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41526/match/1588197,2025/26,Pantamera Pojkar Röd Klass C,Bökensved Sporthall,232002026,Westerviks IBK P 10/11 Röd,Linköping IBK Ungdom P 10/12 Svart,Rasmus Jacobsson,Isac Graaf
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41919/match/1621659,2025/26,Pojkar Grön Jönköping -2017,"Stadsgården, Råslätt 3-manna",142901031,Hovslätts IK P17/1,Skillingaryds IK P17,Lily Ljungberg,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41919/match/1621660,2025/26,Pojkar Grön Jönköping -2017,"Stadsgården, Råslätt 3-manna",142901032,Månsarps IBK P17/3,Bankeryds Skid o MK P17/1,Signe Aronsson,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41919/match/1621661,2025/26,Pojkar Grön Jönköping -2017,"Stadsgården, Råslätt 3-manna",142901033,Hovslätts IK P17/1,Bankeryds Skid o MK P17/1,Hilja Kassermo,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41919/match/1621662,2025/26,Pojkar Grön Jönköping -2017,"Stadsgården, Råslätt 3-manna",142901034,Skillingaryds IK P17,Månsarps IBK P17/3,Signe Aronsson,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41919/match/1621663,2025/26,Pojkar Grön Jönköping -2017,"Stadsgården, Råslätt 3-manna",142901035,Bankeryds Skid o MK P17/1,Skillingaryds IK P17,Hilja Kassermo,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41919/match/1621664,2025/26,Pojkar Grön Jönköping -2017,"Stadsgården, Råslätt 3-manna",142901036,Månsarps IBK P17/3,Hovslätts IK P17/1,Lily Ljungberg,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41925/match/1622187,2025/26,Pojkar Grön Kalmar -2017,Jämjö Sporthall 3-manna,142907025,Jämjö IBK P17,CL98IC P17/2,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41925/match/1622188,2025/26,Pojkar Grön Kalmar -2017,Jämjö Sporthall 3-manna,142907026,FBC Kalmarsund P17/1,Stenåsa-Sandby-Gårdby IF P17,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41925/match/1622189,2025/26,Pojkar Grön Kalmar -2017,Jämjö Sporthall 3-manna,142907027,Jämjö IBK P17,Stenåsa-Sandby-Gårdby IF P17,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41925/match/1622190,2025/26,Pojkar Grön Kalmar -2017,Jämjö Sporthall 3-manna,142907028,CL98IC P17/2,FBC Kalmarsund P17/1,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41925/match/1622191,2025/26,Pojkar Grön Kalmar -2017,Jämjö Sporthall 3-manna,142907029,Stenåsa-Sandby-Gårdby IF P17,CL98IC P17/2,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41925/match/1622192,2025/26,Pojkar Grön Kalmar -2017,Jämjö Sporthall 3-manna,142907030,FBC Kalmarsund P17/1,Jämjö IBK P17,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41928/match/1622295,2025/26,Pojkar Grön Kalmar -2018,Ölands Bank Center A 3-manna,142910025,FBC Kalmarsund Ungdom P18/2,FBC Kalmarsund Ungdom P18/1,Signe Lindén,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41928/match/1622296,2025/26,Pojkar Grön Kalmar -2018,Ölands Bank Center A,142910026,FBC Karlskrona P18/1,FBC Karlskrona P18/2,Milla Eriksson,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41928/match/1622297,2025/26,Pojkar Grön Kalmar -2018,Ölands Bank Center A 3-manna,142910027,FBC Kalmarsund Ungdom P18/2,FBC Karlskrona P18/2,Milla Eriksson,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41928/match/1622298,2025/26,Pojkar Grön Kalmar -2018,Ölands Bank Center A 3-manna,142910028,FBC Kalmarsund Ungdom P18/1,FBC Karlskrona P18/1,Signe Lindén,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41928/match/1622299,2025/26,Pojkar Grön Kalmar -2018,Ölands Bank Center A 3-manna,142910029,FBC Karlskrona P18/2,FBC Kalmarsund Ungdom P18/1,Milla Eriksson,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41928/match/1622300,2025/26,Pojkar Grön Kalmar -2018,Ölands Bank Center A 3-manna,142910030,FBC Karlskrona P18/1,FBC Kalmarsund Ungdom P18/2,Signe Lindén,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41923/match/1622421,2025/26,Pojkar Grön Kronoberg A -2017,"Allhallen, Hovmantorp 3-manna",142905043,Hovmantorps GOIF P17/1,Växjö IBK Utveckling P17/4 Blå,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41923/match/1622422,2025/26,Pojkar Grön Kronoberg A -2017,"Allhallen, Hovmantorp 3-manna",142905044,Hovshaga AIF P17/1,Braås GoIF F/P17,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41923/match/1622423,2025/26,Pojkar Grön Kronoberg A -2017,"Allhallen, Hovmantorp 3-manna",142905045,Hovmantorps GOIF P17/1,Braås GoIF F/P17,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41923/match/1622424,2025/26,Pojkar Grön Kronoberg A -2017,"Allhallen, Hovmantorp 3-manna",142905046,Växjö IBK Utveckling P17/4 Blå,Hovshaga AIF P17/1,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41923/match/1622425,2025/26,Pojkar Grön Kronoberg A -2017,"Allhallen, Hovmantorp 3-manna",142905047,Braås GoIF F/P17,Växjö IBK Utveckling P17/4 Blå,,
2025-11-23,7,https://stats.innebandy.se/sasong/43/serie/41923/match/1622426,2025/26,Pojkar Grön Kronoberg A -2017,"Allhallen, Hovmantorp 3-manna",142905048,Hovshaga AIF P17/1,Hovmantorps GOIF P17/1,,
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40695/match/1571653,2025/26,SSL - Svenska Superligan Damer,Hägerneholmshallen,580020073,Täby FC IBK,Warberg IC,Martin Jonsson,Joakim Mattsson
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40697/match/1570703,2025/26,Allsvenskan Damer Södra,Rosvalla Arena A,580027050,FBC Katrineholm,Älvsjö AIK IBF,Tim Nissinen Eriksson,Noel Hildensjö
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/42566/match/1660585,2025/26,Bäst i Stan Pojkar 16 – Slutspel,Grimstahallen,150167004,Hässelby SK IBK,AIK IBF,Erik Gustafsson,Stefan Ålander
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/42566/match/1660582,2025/26,Bäst i Stan Pojkar 16 – Slutspel,Värmdö sporthall,150167001,Värmdö IF/Djurö Vindö IF,IBF Offensiv Lidingö/Karlbergs BK,Rasmus Bergne,Nicklas Sundgren
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40772/match/1575686,2025/26,Damer Division 2 Norra,Österåkers Multiarena Plan 1 - Ljusterö,150013032,Åkersberga IBF (B),Sundbybergs IK,Mio Åkerblom,Mourice Åkerblom
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40773/match/1575776,2025/26,Damer Division 2 Södra,Trädgårdsstadshallen (Tullinge),150038032,FBI Tullinge (B),Värmdö IF (A),Aarre Hietanen,Aldin Imamovic
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/41362/match/1581103,2025/26,Damer Division 3 Mellersta,Brygga idrottshall,150037042,Ekerö IK (B),Mariebergs SK (A),Ricky Bagge,Shabbir Ahmed
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40774/match/1580999,2025/26,Damer Division 3 Norra,Ekilla Sporthall,150036029,Rosersberg Arlanda IBK (B),Jakobsbergs IBF,Jan Lingemark,Anton Greberg
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40774/match/1580998,2025/26,Damer Division 3 Norra,Grindtorpshallen,150036028,IBF Täby,FBC Sollentuna (C),Johan Eklund,Magnus Berg
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40775/match/1581179,2025/26,Damer Division 3 Södra,Tungelsta Sporthall,150042028,Tungelsta IF,Älvsjö AIK (C),Anton Helen,Melanie Sundell
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40775/match/1581180,2025/26,Damer Division 3 Södra,Trädgårdsstadshallen (Tullinge),150042029,FBI Tullinge (C),Älta IF (B),Aarre Hietanen,Aldin Imamovic
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40775/match/1581177,2025/26,Damer Division 3 Södra,Ingarö Sporthall,150042026,Ingarö IF,Mariebergs SK (B),Magnus Johansson,Daniel Kölborn
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40815/match/1653090,2025/26,Damer Veteraner,Skogåshallen,150191022,Skogås/Trångsunds IBK,Vallentuna IBK,Amina Jerbi,Filippa Wijnbladh
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40815/match/1653091,2025/26,Damer Veteraner,Ormingehallen,150191023,Nacka IBK,Hammarby IF IBF,Love Olsson,Paulina Alzén
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40699/match/1571103,2025/26,Division 1 Herrar Södra Svealand,Ormingehallen,580032054,Nacka IBK,Nykvarns IF Utveckling,Gabriel Nääs,Hampus Viking
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40699/match/1571101,2025/26,Division 1 Herrar Södra Svealand,Eriksdalshallen,580032052,Djurgårdens IF IBS,Värmdö IF,Daniel Bäckner,Jonatan Svahn
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40754/match/1574284,2025/26,Herrar Division 2,Tyresöhallen,150001053,Tyresö Trollbäcken IBK (A),Täby FC (A),Anton Fritshammar,Lukas Jellnor
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40754/match/1574280,2025/26,Herrar Division 2,Mörbyhallen,150001049,Danderyd FC (A),FBI Tullinge (A),Magnus Eriksson,Peter Hagelin
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40755/match/1574747,2025/26,Herrar Division 3 Norra,Rotebrohallen,150002035,FBC Sollentuna (B),Hässelby SK IBK (B),William Albrecht,Imtiaz Karim
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40756/match/1574854,2025/26,Herrar Division 3 Södra,Kvarnbergshallen,150003034,TF 89 (A),Sköndals IK (A),Daniel Karlsson,Manne Jahnsson
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40756/match/1574851,2025/26,Herrar Division 3 Södra,Stavsborgs sporthall,150003031,Älta IF (A),Älvsjö AIK IBF (B),Niklas Lundberg,Mauricio Castillo
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40759/match/1576235,2025/26,Herrar Division 4 Mellersta,Stavsborgs sporthall,150007031,Älta IF (B),Westermalms IBK,Niklas Lundberg,Mauricio Castillo
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40757/match/1576330,2025/26,Herrar Division 4 Norra,Grindtorpshallen,150005033,IBF Täby,AIK IBF (B),Johan Eklund,Magnus Berg
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40757/match/1576329,2025/26,Herrar Division 4 Norra,Hägerneholmshallen,150005032,Täby FC (B),Väsby AIK (B),Hugo Zetterberg,Albin Bergström
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40758/match/1576514,2025/26,Herrar Division 4 Södra,Glömstahallen,150006035,Huddinge IBS (B),Tyresö Trollbäcken IBK (B),Kim Svedberg,Håkan Sällström
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/41439/match/1645762,2025/26,Herrar Oldboys,Eriksdalshallen,150555021,Hammarby IF IBF,Skogås/Trångsunds IBK,Erik Peters,Emanuel Schüssler
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/41439/match/1645764,2025/26,Herrar Oldboys,Rotebrohallen,150555023,FBC Sollentuna,Täby FC,Jan Lingemark,Arne Brovig
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/41439/match/1645763,2025/26,Herrar Oldboys,Björkebyhallen,150555022,Järfälla Bele IBK,Kungsängens IF,Shabbir Ahmed,William Thelander
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40813/match/1655551,2025/26,Herrar Veteraner Division 2 Norra,Bro Sporthall,150020031,Bro IK,Danderyd FC,Robert Milerud,Michael Leimer
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40813/match/1655553,2025/26,Herrar Veteraner Division 2 Norra,Hagnäshallen,150020033,Kungsängens IF,IK Frej Täby IBK,William Thelander,Martin Mårtensson
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40813/match/1655555,2025/26,Herrar Veteraner Division 2 Norra,Hässelbyhallen,150020035,Hässelby SK IBK,Täby FC,Elliot Andersson,Oscar Björkman
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40814/match/1655615,2025/26,Herrar Veteraner Division 2 Södra,Telefonplanshallen,150022034,Örby IS,Segeltorps IF IBF,Thomas Gjutarenäfve,Shabbir Ahmed
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40814/match/1655582,2025/26,Herrar Veteraner Division 2 Södra,Kvarnängshallen,150022001,Nynäshamns IBK,Hammarby IF IBF,Anders Asp,Daniel Karlsson
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40776/match/1576779,2025/26,Pantamera Damjuniorer Division 1,Kvarnängshallen,150033030,Nynäshamns IBK (A),Huddinge IBS (A),Anders Asp,Fredrik Bousset
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40777/match/1578894,2025/26,Pantamera Damjuniorer Division 2 Norra,Hägerneholmshallen,150034049,Täby FC (B),Hässelby SK IBK (B),Jonas Vedin,Hugo Zetterberg
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40777/match/1578895,2025/26,Pantamera Damjuniorer Division 2 Norra,IFU Arena DHinox (D),150034050,Vaksala SK IBK/Vaksala SK,Vallentuna IBK (A)/Täby FC (C),Anton Ceder,Adrian Vidmark
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40778/match/1579098,2025/26,Pantamera Damjuniorer Division 2 Södra,Trädgårdsstadshallen (Tullinge),150035049,FBI Tullinge (B),IFK Haninge (B),Aarre Hietanen,Aldin Imamovic
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40852/match/1637975,2025/26,Pantamera Flickor 2009/2010 A,Väsby skola,150310021,Väsby AIK,FBC Sollentuna (A),Micke Roth,Dan Lilliehorn
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40852/match/1637961,2025/26,Pantamera Flickor 2009/2010 A,IFU Arena Upplands Energi (C),150310007,IK Sirius FBC,Järfälla Bele IBK,Lars Karlsson,Johan Svärling
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40852/match/1637976,2025/26,Pantamera Flickor 2009/2010 A,Sköndalshallen,150310022,Sköndals IK,Täby FC (A),Tuva Egman,Tommy Egman
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40858/match/1593775,2025/26,Pantamera Flickor 2009/2010 B,Glömstahallen,150331047,Huddinge IBS,Hässelby SK IBK,Kim Svedberg,Fredrik Hallenberg
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40860/match/1594565,2025/26,Pantamera Flickor 2009/2010 C Norra,Österåkers Multiarena Plan 2 - Ingmarsö,150314034,Åkersberga IBF,Norrtulls SK,Rikard Söderlund,Filip Rylander
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/41373/match/1594642,2025/26,Pantamera Flickor 2009/2010 C Södra,Rödabergshallen,150351001,Norrtulls SK (B),Ekerö IK,Melanie Sundell,Magnus Berg
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40862/match/1598460,2025/26,Pantamera Flickor 2011/2012 A,Rotebrohallen,150316043,FBC Sollentuna,Vaksala SK,Felix Håman Thoren,Joel Forssell
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40862/match/1598464,2025/26,Pantamera Flickor 2011/2012 A,Väsby skola,150316047,Väsby AIK,Hässelby SK IBK,Dan Lilliehorn,Tuve Rosen
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40862/match/1598465,2025/26,Pantamera Flickor 2011/2012 A,Österåkers Multiarena Plan 1 - Ljusterö,150316048,Åkersberga IBF,FBI Tullinge (B),India Rauman,Esther Wagner
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40862/match/1598461,2025/26,Pantamera Flickor 2011/2012 A,Rosendalsskolan Norra Sporthall,150316044,Vallentuna IBK,Täby FC,Lars Samuelsson,Nova-Lee Ekelund
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40862/match/1598462,2025/26,Pantamera Flickor 2011/2012 A,Vaxholm innebandyhallen,150316045,Vaxholms IBF,Järfälla Bele IBK (A),Mario Mallengren,Mourice Åkerblom
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40870/match/1600396,2025/26,Pantamera Flickor 2011/2012 B Mellersta,Rotebrohallen,150429025,FBC Sollentuna (B),Täby FC (B),Felix Håman Thoren,Victor Andersson
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40867/match/1600471,2025/26,Pantamera Flickor 2011/2012 B Norra,Hässelbyhallen,150318028,Hässelby SK IBK (B),Ekerö IK,Elliot Andersson,Oscar Björkman
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40869/match/1600541,2025/26,Pantamera Flickor 2011/2012 B Södra,Storvretens Sporthall,150428026,FBI Tullinge (B),Nacka IBK (B),Martin Claësson,Agnes Lövgren
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40873/match/1604539,2025/26,Pantamera Flickor 2011/2012 C Norra,Hägerneholmshallen,150449036,Täby FC (A),Järfälla Bele IBK,Jonas Vedin,Hugo Zetterberg
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40873/match/1604541,2025/26,Pantamera Flickor 2011/2012 C Norra,Vaxholm innebandyhallen,150449038,Vaxholms IBF,Farsta IBK (B),Mario Mallengren,Mourice Åkerblom
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40873/match/1604540,2025/26,Pantamera Flickor 2011/2012 C Norra,Rosendalsskolan Norra Sporthall,150449037,Vallentuna IBK (A),Salems IF (B),Agaton Östlund,Nova-Lee Ekelund
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40872/match/1604653,2025/26,Pantamera Flickor 2011/2012 C Södra,Rosendalsskolan Norra Sporthall,150437040,Vallentuna IBK (B),Älvsjö AIK IBF (B),Melker Vallen,Ebba Bramberg
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40872/match/1604650,2025/26,Pantamera Flickor 2011/2012 C Södra,Strandhallen - Tyresö,150437037,Tyresö Trollbäcken IBK,IBF Offensiv Lidingö/Djurgårdens IF IBS,Christian Berger,Frans Levin
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40874/match/1616012,2025/26,Pantamera Flickor 2013 A,Österåkers Multiarena Plan 1 - Ljusterö,150438032,Åkersberga IBF,FBC Sollentuna,Lars Samuelsson,Hannes Hovmöller
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40874/match/1616013,2025/26,Pantamera Flickor 2013 A,Ormingehallen,150438033,Nacka IBK,Vallentuna IBK,Rohan Kalkan,Hjalmar Israelsson
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40875/match/1618624,2025/26,Pantamera Flickor 2013 B Norra,Österåkers Multiarena Plan 1 - Ljusterö,150441032,Åkersberga IBF,Norrtulls SK,India Rauman,Esther Wagner
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40875/match/1618627,2025/26,Pantamera Flickor 2013 B Norra,Hässelbyhallen,150441035,Hässelby SK IBK (A),FBC Sollentuna (A),Petrus Gebäck,Kasper Feiler
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40875/match/1618626,2025/26,Pantamera Flickor 2013 B Norra,Grimstahallen,150441034,Mariebergs SK,Ängby IF,Erik Gustafsson,Stefan Ålander
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40876/match/1618869,2025/26,Pantamera Flickor 2013 B Södra,Hässelbyhallen,150442035,Hässelby SK IBK (B),Värmdö IF,Petrus Gebäck,Kasper Feiler
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40876/match/1618870,2025/26,Pantamera Flickor 2013 B Södra,Rikstenshallen,150442036,FBI Tullinge,Hammarby IF IBF,Stefan Ålander,Elliot Ålander
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40876/match/1618868,2025/26,Pantamera Flickor 2013 B Södra,Ormingehallen,150442034,Nacka IBK,Älta IF,Rohan Kalkan,Hjalmar Israelsson
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40971/match/1628285,2025/26,Pantamera Flickor 2014 A,Rosendalsskolan Norra Sporthall,150379039,Vallentuna IBK (B),Järfälla Bele IBK (B),Melker Vallen,Ebba Bramberg
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40971/match/1628287,2025/26,Pantamera Flickor 2014 A,Rosendalsskolan Norra Sporthall,150379041,Vallentuna IBK (A),Huddinge IBS,Melker Vallen,Ebba Bramberg
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40971/match/1628283,2025/26,Pantamera Flickor 2014 A,Herresta Sporthall,150379037,Järfälla Bele IBK (A),FBI Tullinge,Richard Byström,Lars Reuterhagen
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40971/match/1628288,2025/26,Pantamera Flickor 2014 A,Lyckeby Sporthall,150379042,IFK Haninge,Sköndals IK,Ariana Javadi,Elina Zibell
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/41381/match/1629018,2025/26,Pantamera Flickor 2014 B Mellersta,Sköndalshallen,150333021,Sköndals IK (B),Väsby AIK,Charlie Sundelius,Theo Persson Stam
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40973/match/1628982,2025/26,Pantamera Flickor 2014 B Norra,Ulriksdalshallen,150439021,AIK IBF (A),Täby FC,Wille Goldeus,Alex Roxell
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40973/match/1628984,2025/26,Pantamera Flickor 2014 B Norra,Vaxholm innebandyhallen,150439023,Vaxholms IBF,Åkersberga IBF,Mario Mallengren,Wilton Delläng
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40974/match/1629056,2025/26,Pantamera Flickor 2014 B Södra,Utsäljehallen,150463023,Segeltorps IF IBF,Huddinge IBS,Elsa Stenberg,Frida Ek
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40974/match/1629055,2025/26,Pantamera Flickor 2014 B Södra,Strandhallen - Tyresö,150463022,Tyresö Trollbäcken IBK,FBI Tullinge,Tim Järlö,Vilmer Strandberg Edgardh
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40975/match/1630230,2025/26,Pantamera Flickor 2015 A,Värmdö sporthall,150416024,Värmdö IF,Skogås/Trångsunds IBK,William Rodahl,Paulina Alzén
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40975/match/1630229,2025/26,Pantamera Flickor 2015 A,Bas Barkarby,150416023,Järfälla Bele IBK,Vallentuna IBK (A),Agnes Wahlgren,Vilma Wahlgren
2025-11-23,8,https://stats.innebandy.se/sasong/43/serie/40978/match/1629093,2025/26,Pantamera Flickor 2015 B Norra,Österåkers Multiarena Plan 1 - Ljusterö,150368024,Åkersberga IBF,Hässelby SK IBK,Lars Samuelsson,Hannes Hovmöller
