Domare,Date,Matcher
Tomas Levin,2023-10-14,4
Adam Jällfält,2023-10-14,3
Adem Can,2023-10-14,3
Adnan Tongur,2023-10-14,3
Alexander Rydqvist,2023-10-14,3
Jesper Björklund Greter,2023-10-14,3
Johan Ronge,2023-10-14,3
Melvin Stenberg,2023-10-14,3
Mohsen Gholami,2023-10-14,3
Mustafa Er,2023-10-14,3
Mustafa Kalajdzisalihovic,2023-10-14,3
Per Sundvall,2023-10-14,3
Philip Tindvall,2023-10-14,3
Thomas Johansson,2023-10-14,3
Alexander Forsberg,2023-10-14,2
Alexander Wren-Wennefors,2023-10-14,2
Anton Sköld,2023-10-14,2
Clara Selstam,2023-10-14,2
Dante Lindskog,2023-10-14,2
Elsa Berg,2023-10-14,2
Elvira Flöjner,2023-10-14,2
Emilia Söderström,2023-10-14,2
Emrik Appelgren,2023-10-14,2
Felix Bark Peterson,2023-10-14,2
Gry Axelsson,2023-10-14,2
Henry Tames,2023-10-14,2
Ian Blomqvist,2023-10-14,2
Idris Hasan Mohamed,2023-10-14,2
Isac Söderlind Löfdahl,2023-10-14,2
Josefin Sannerholm,2023-10-14,2
Lazo Cesto,2023-10-14,2
Lucas Aebischer Skogbäck,2023-10-14,2
Ludwig Ahlström,2023-10-14,2
Måns Löfgren,2023-10-14,2
Malte Bartilson,2023-10-14,2
Matilda Lindqvist,2023-10-14,2
Oliver Pettersson,2023-10-14,2
Patrich Hellfärdsson,2023-10-14,2
Robin Cederdahl,2023-10-14,2
Sebastian Ågren,2023-10-14,2
Selma Hadziselimovic,2023-10-14,2
Stefan Olsson,2023-10-14,2
Tommy Runhammar,2023-10-14,2
Tove Hall,2023-10-14,2
Albert Enlund,2023-10-14,1
Alexander Pavlovic,2023-10-14,1
Alexander Warberg,2023-10-14,1
Alfons Wikander,2023-10-14,1
Alma Eriksson,2023-10-14,1
Amir Huseinovic,2023-10-14,1
Anton Willner,2023-10-14,1
Christer Carlberg,2023-10-14,1
Christian Svärdström,2023-10-14,1
Christoffer Frykestam,2023-10-14,1
David Dornlöv,2023-10-14,1
Eliott Eriksson,2023-10-14,1
Emil Häggsten,2023-10-14,1
Emmy Birgersson,2023-10-14,1
Felix Broström,2023-10-14,1
Frans Dahlstedt,2023-10-14,1
Fredrik Ömnehag,2023-10-14,1
Freja Essle,2023-10-14,1
Hajrudin Begic,2023-10-14,1
Helin Beyza Altuntas,2023-10-14,1
Hussein Ibrahim,2023-10-14,1
Isak Skarrie,2023-10-14,1
Jacob Johansson,2023-10-14,1
Jasmin Dzanic,2023-10-14,1
Joakim Mattsson,2023-10-14,1
Karl Dahlsjö,2023-10-14,1
Kasper Degerman,2023-10-14,1
Klara Olofsson,2023-10-14,1
Liam Larsson,2023-10-14,1
Måns Bartilson,2023-10-14,1
