Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-11-29,11:45,Klubbhuset Blå Pojkar 15 A Höst,Surte IS IBK P15/16,Herrestads AIF IB 15,Bohushallen,,,https://stats.innebandy.se/sasong/43/serie/42401/match/1652530
2025-11-29,15:00,Klubbhuset Blå Pojkar 15 A Höst,Kärra IBK P15/16 Svart,IBF Backadalen P15/16 Svart,Kärra Sporthall,Vince Broman,Melik Feyli,https://stats.innebandy.se/sasong/43/serie/42401/match/1652533
2025-11-29,11:00,Klubbhuset Blå Pojkar 15 B Höst,Myggenäs IBK P-15,Pixbo IBK P15 Vit,Häggvallsskolan,Nils Olsson,Tim Gullmar,https://stats.innebandy.se/sasong/43/serie/42402/match/1652618
2025-11-29,13:50,Klubbhuset Blå Pojkar 15 B Höst,Ale IBF P15,Floda IBK P15 Vit,Kronan Älvängen,Hanna Örn,Theo Hellman,https://stats.innebandy.se/sasong/43/serie/42402/match/1652621
2025-11-29,14:40,Klubbhuset Blå Pojkar 15 B Höst,Mölndals IBF P15 RÖD,IBK Kungälv P15 Blå,Aktiviteten A-Hall,Kevin Chalien,Tage Roos,https://stats.innebandy.se/sasong/43/serie/42402/match/1652620
2025-11-29,16:15,Klubbhuset Blå Pojkar 15 B Höst,FBC Lerum Utveckling P15 Svart,FBC Partille P 15 Vallhamra Vit,Rydsbergshallen,Hugo Carlsson,Ludvig Hermansson,https://stats.innebandy.se/sasong/43/serie/42402/match/1652619
2025-11-29,08:00,Klubbhuset Blå Pojkar 15 C Höst,Landvetter IBK P15 Blå,Frölunda IBK P15 Röd,Pinntorps Idrottshall,Alexander Forsberg,Anton Thorin,https://stats.innebandy.se/sasong/43/serie/42403/match/1652931
,,,,,,,,https://stats.innebandy.se/sasong/43/serie/42403/match/1652929/laguppstallning
,,,,,,,,https://stats.innebandy.se/sasong/43/serie/42403/match/1652927/laguppstallning
,,,,,,,,https://stats.innebandy.se/sasong/43/serie/42404/match/1651412/laguppstallning
,,,,,,,,https://stats.innebandy.se/sasong/43/serie/42404/match/1651414/laguppstallning
,,,,,,,,https://stats.innebandy.se/sasong/43/serie/42409/match/1651178/laguppstallning
,,,,,,,,https://stats.innebandy.se/sasong/43/serie/42409/match/1651177/laguppstallning
,,,,,,,,https://stats.innebandy.se/sasong/43/serie/42409/match/1651180/laguppstallning
,,,,,,,,https://stats.innebandy.se/sasong/43/serie/42409/match/1651182/laguppstallning
,,,,,,,,https://stats.innebandy.se/sasong/43/serie/42405/match/1651113/laguppstallning
,,,,,,,,https://stats.innebandy.se/sasong/43/serie/42405/match/1651111/laguppstallning
2025-11-29,16:45,Pantamera Damjunior B Höst,IBK Alingsås Damjunior,Dingle AIK DJ,"Stadsskogshallen, Alingsås",Pedram Koublani,Daniel Larm,https://stats.innebandy.se/sasong/43/serie/42368/match/1648914
2025-11-29,19:30,Pantamera Damjunior B Höst,Pixbo IBF Utveckling Vit,Landvetter IBF JAS DJ-Utveckling Vit,Wallenstam Arena A,Mohammad Mahmud,Jasmin Dzanic,https://stats.innebandy.se/sasong/43/serie/42368/match/1648915
2025-11-29,12:45,Pantamera Herrjunior A Höst,Pixbo IBF Utveckling,IBK Göteborg U16,Wallenstam Arena A,Dante Lindskog,Emmy Birgersson,https://stats.innebandy.se/sasong/43/serie/42363/match/1648344
2025-11-29,15:00,Pantamera Herrjunior A Höst,FBC Partille U16,IBK Kungälv Herrjuniorer Vit,Qvisthallen,Albin Wennersten,Sebastian Ågren,https://stats.innebandy.se/sasong/43/serie/42363/match/1648342
2025-11-29,17:15,Pantamera Herrjunior B Höst,Stenungsunds IBK HJ,IBF Backadalen HJ,Stenungsund Arena,Senad Olevic,Mustafa Kalajdzisalihovic,https://stats.innebandy.se/sasong/43/serie/42364/match/1648375
2025-11-29,17:30,Pantamera Herrjunior B Höst,Floda IBK HJ07-09 Vit,Träslövsläge IF Herrjunior,Nova Floda Sportcenter A-hall,Emin Kosovac,Mohsen Gholami,https://stats.innebandy.se/sasong/43/serie/42364/match/1648373
2025-11-29,15:00,Pantamera Herrjunior D Höst,Onsala IBK U16,Herrestads AIF Junior,Presse Idrottshall,Alfred Andersson,Hampus Abrahamsson,https://stats.innebandy.se/sasong/43/serie/42366/match/1648433
2025-11-29,10:00,Pantamera Ungdom-B Flickor B Höst,Lindome IBK F10/11,IBK Kungälv F10-12 Blå,Almåshallen A,Samuel Tolland,Gustav Persson,https://stats.innebandy.se/sasong/43/serie/42387/match/1648976
2025-11-29,10:10,Pantamera Ungdom-B Flickor B Höst,Pixbo IBF F11 Röd,IK Zenith Svart,Wallenstam Arena A,Mustaf Osman,Mükremin Er,https://stats.innebandy.se/sasong/43/serie/42387/match/1648974
2025-11-29,11:52,Pantamera Ungdom-B Flickor B Höst,Lindås IBK F10/11 Blå,Landvetter IBF F11 Blå,Lindås Waves Arena,Ian S Blomqvist,Felix Bark Peterson,https://stats.innebandy.se/sasong/43/serie/42387/match/1648975
2025-11-29,13:40,Pantamera Ungdom-B Flickor C Höst,FBC Partille F09/11 Svart,Floda IBK / FBC Lerum Utveckling F10/11,Qvisthallen,Albin Wennersten,Sebastian Ågren,https://stats.innebandy.se/sasong/43/serie/42388/match/1649006
2025-11-29,16:50,Pantamera Ungdom-B Flickor C Höst,Lindås IBK F10-11 Vit,IBK Kungälv F10-12 Grå,Lindås Waves Arena,Ian S Blomqvist,Felix Bark Peterson,https://stats.innebandy.se/sasong/43/serie/42388/match/1649005
2025-11-29,12:45,Pantamera Ungdom-B Pojkar A Höst,Landvetter IBK P10 Vit,Lindome IBK/Almås IBF U16 Grön,Almåshallen A,Arthur Nielsen,Samuel Tolland,https://stats.innebandy.se/sasong/43/serie/42369/match/1648458
2025-11-29,11:20,Pantamera Ungdom-B Pojkar B Höst,Mölndals IBF / Lindås IBK P10,IK Zenith P10 Vit,Aktiviteten A-Hall,Mohamed Abdi Aziz,Henry Tames,https://stats.innebandy.se/sasong/43/serie/42370/match/1648494
2025-11-29,08:55,Pantamera Ungdom-B Pojkar C Höst,Pixbo IBF P11 Röd,FBC Partille P11 Blå,Wallenstam Arena A,Mustaf Osman,Mükremin Er,https://stats.innebandy.se/sasong/43/serie/42371/match/1648525
2025-11-29,10:10,Pantamera Ungdom-B Pojkar E Höst,Mölndals IBF P10 Röd,FBC Partille P11 Vit,Aktiviteten A-Hall,Mohamed Abdi Aziz,Henry Tames,https://stats.innebandy.se/sasong/43/serie/42373/match/1650721
2025-11-29,13:30,Pantamera Ungdom-B Pojkar E Höst,Stenungsunds IBK P10/11,Myggenäs IBK P10,Kyrkenorumskolans Idrottshall,Alvin Andersson,Joacim Olsson,https://stats.innebandy.se/sasong/43/serie/42373/match/1650715
2025-11-29,19:00,Pantamera Ungdom-B Pojkar E Höst,Landvetter IBK P10 Blå,Frölunda IBK P10-11 Svart,Pinntorps Idrottshall,Per Sundvall,Felix Broström,https://stats.innebandy.se/sasong/43/serie/42373/match/1650719
2025-11-29,13:15,Pantamera Ungdom-C Flickor A Höst,Surte IS IBK F11,IK Zenith Vit,Bohushallen,Gökhan Atay,Sinem Atay,https://stats.innebandy.se/sasong/43/serie/42390/match/1649531
2025-11-29,18:40,Pantamera Ungdom-C Flickor A Höst,FBC Lerum Utveckling F12 Röd,Landvetter IBF F12 Blå,Rydsbergshallen,Lukas Söderblom,Gustav Brogren,https://stats.innebandy.se/sasong/43/serie/42390/match/1649532
2025-11-29,10:00,Pantamera Ungdom-C Flickor B Höst,Surte IS IBK F 12/13 Röd,Ale IBF F12/13 Blå,Bohushallen,Gökhan Atay,Sinem Atay,https://stats.innebandy.se/sasong/43/serie/42391/match/1649774
2025-11-29,11:30,Pantamera Ungdom-C Flickor B Höst,IBF Backadalen F11/12 Röd,Landvetter IBF F12 Vit,Tuve Sporthall,Hugo Fritzson,Vidar Hagberg,https://stats.innebandy.se/sasong/43/serie/42391/match/1649772
2025-11-29,11:20,Pantamera Ungdom-C Flickor C Höst,Eken IBK F11/12/13 Lila,Landvetter IBF F13/14 Blå,Ekenhallen 1,Noel Hylén,Alexander T Forsberg,https://stats.innebandy.se/sasong/43/serie/42392/match/1649832
2025-11-29,17:30,Pantamera Ungdom-C Flickor C Höst,FBC Lerum Utveckling F13 Vit,Lindome IBK F12,Rydsbergshallen,Lukas Söderblom,Gustav Brogren,https://stats.innebandy.se/sasong/43/serie/42392/match/1649833
2025-11-29,11:15,Pantamera Ungdom-C Flickor E Höst,FBC Partille F 12/14 Röd,Lindås IBK F13,Qvisthallen,Freja Linderoth,Anton Stenberg,https://stats.innebandy.se/sasong/43/serie/42394/match/1649379
2025-11-29,13:40,Pantamera Ungdom-C Flickor E Höst,Hindås IBK F13,IBK Göteborg / Guldhedens IK F12-13,Hindås Idrottshall,Alexander Rydqvist,Adem Can,https://stats.innebandy.se/sasong/43/serie/42394/match/1649381
