Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-01-13,11:00,Klubbhuset F-12 Bamse Vår,Surte IS IBK F11 Blå,Landvetter IBK F12 Blå,Bohushallen,Kasper Mourujärvi,,https://stats.innebandy.se/sasong/43/serie/36872/match/1440341
2024-01-13,14:00,Klubbhuset F-12 Bamse Vår,Pixbo IBK F12 Röd,IBK Bergum F12/13,Wallenstam Arena B,Elvira Flöjner,Elsa Arvidsson,https://stats.innebandy.se/sasong/43/serie/36872/match/1440339
2024-01-13,10:00,Klubbhuset F-14 Brum Vår,FBC Partille F 12/14,Pixbo IBK F13/14 Viträvar,Qvisthallen,Matilda Lindqvist,Emilia Fröberg,https://stats.innebandy.se/sasong/43/serie/36875/match/1437837
2024-01-13,14:30,Klubbhuset F-14 Brum Vår,Hindås IBK F13,IK Zenith F13/14,Hindås Idrottshall,Halina Karnili,,https://stats.innebandy.se/sasong/43/serie/36875/match/1437840
2024-01-13,17:15,Klubbhuset F-14 Teddy Vår,Öckerö IBK F14/15,Ale IBF F14/15,Bergagårdshallen,Nova Davidson Ringius,,https://stats.innebandy.se/sasong/43/serie/36876/match/1437882
2024-01-13,13:50,Klubbhuset Herrar Veteraner,Landvetter IBK HV,IBK Kungälv HV,Pinntorps Idrottshall,Lazo Cesto,Henry Tames,https://stats.innebandy.se/sasong/43/serie/35122/match/1439864
2024-01-13,13:00,Klubbhuset P-12 Knatte Vår,Mölndals IBF P12,Ale IBF P12,Aktiviteten A-Hall,Alexander Wren-Wennefors,Felix Östberg,https://stats.innebandy.se/sasong/43/serie/36863/match/1436787
2024-01-13,11:00,Klubbhuset P-12 Tjatte Vår,FBC Partille P12 Röd,Pixbo IBK P12/13,Qvisthallen,Matilda Lindqvist,Emilia Fröberg,https://stats.innebandy.se/sasong/43/serie/36864/match/1436831
2024-01-13,10:30,Klubbhuset P-13 Kalle Vår,Lindome IBK P13 Grön,FBC Partille P 13 Blå,Almåshallen A,Sofia Andersson,Emelie Blomqvist,https://stats.innebandy.se/sasong/43/serie/36866/match/1436931
2024-01-13,13:00,Klubbhuset P-13 Kalle Vår,Pixbo IBK P13,Stenungsunds IBK P12,Wallenstam Arena B,Elvira Flöjner,Elsa Arvidsson,https://stats.innebandy.se/sasong/43/serie/36866/match/1436930
2024-01-13,12:00,Klubbhuset P-13 Pluto Vår,Mölndals IBF P13 Vit,FBC Partille P 14 Vallhamra Blå,Aktiviteten A-Hall,Alexander Wren-Wennefors,Felix Östberg,https://stats.innebandy.se/sasong/43/serie/36868/match/1437077
